epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.574,1.40921,1.77774,0.00934,0.78982,0.7703,0.82731,0.54232,1.34706,0.97083,0.01044,0.000476024,0.000476024,0.000476024
2,485.816,1.51686,1.24454,0.01091,0.78263,0.74766,0.81997,0.52785,1.39681,0.99251,0.01058,0.000952125,0.000952125,0.000952125
3,717.729,1.5517,1.21117,0.01093,0.82088,0.76518,0.83521,0.55159,1.34946,0.86366,0.01,0.0014273,0.0014273,0.0014273
4,949.354,1.49599,1.109,0.01031,0.81402,0.77963,0.84837,0.56383,1.31713,0.83368,0.00955,0.00142586,0.00142586,0.00142586
5,1179.92,1.44841,1.04726,0.0101,0.82333,0.80018,0.86178,0.56878,1.32215,0.8218,0.00888,0.00142342,0.00142342,0.00142342
6,1432.22,1.40586,0.98384,0.00939,0.82804,0.81791,0.87255,0.59817,1.23781,0.72983,0.00831,0.00142029,0.00142029,0.00142029
7,1663.67,1.37815,0.93765,0.00898,0.83678,0.8116,0.87932,0.609,1.22451,0.72544,0.00812,0.00141647,0.00141647,0.00141647
8,1894.57,1.35226,0.91815,0.0088,0.84965,0.81663,0.88456,0.61338,1.23121,0.68643,0.00829,0.00141196,0.00141196,0.00141196
9,2125.76,1.33195,0.86489,0.00855,0.83861,0.81882,0.88688,0.62461,1.17047,0.71056,0.00717,0.00140678,0.00140678,0.00140678
10,2357.99,1.33372,0.85913,0.00826,0.86077,0.81848,0.89097,0.6351,1.16428,0.66589,0.00782,0.00140091,0.00140091,0.00140091
11,2588.43,1.30356,0.84383,0.00842,0.85921,0.83395,0.90218,0.64417,1.15165,0.62371,0.00694,0.00139438,0.00139438,0.00139438
12,2819.33,1.28434,0.81151,0.00812,0.84536,0.84728,0.90449,0.64674,1.15053,0.63703,0.00748,0.00138718,0.00138718,0.00138718
